Unnamed: 0,id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l
114,11135,True,2019-11-02 13:30:00,236,PFC Sochi,SOC,237,FC Tambov,TAM,1,2,1.20402,1.60876,0.2429,0.2864,0.4707
115,11138,True,2019-11-02 16:00:00,189,Zenit St. Petersburg,ZEN,185,CSKA Moscow,CSK,1,1,1.78483,0.7345649999999999,0.6355,0.2305,0.134
116,11140,True,2019-11-03 13:30:00,196,FC Krasnodar,KRA,187,FC Rostov,ROS,2,2,2.6085599999999998,0.624235,0.8531,0.1153,0.0316
117,11142,True,2019-11-04 11:00:00,198,Ural,URA,199,FC Orenburg,ORE,1,2,1.59627,1.34513,0.4333,0.2633,0.3034
118,11136,True,2019-11-04 13:30:00,194,Krylya Sovetov Samara,KSS,186,Rubin Kazan,RUB,0,0,1.20464,0.611383,0.5283,0.3078,0.1639
119,11139,True,2019-11-04 16:00:00,183,Spartak Moscow,SPA,200,Arsenal Tula,ARS,0,1,2.2369,0.43415699999999996,0.8415,0.1259,0.0326
120,11149,True,2019-11-08 16:30:00,188,FK Akhmat,AKH,198,Ural,URA,0,0,0.829775,1.41719,0.1888,0.2919,0.5193
121,11145,True,2019-11-09 11:00:00,186,Rubin Kazan,RUB,190,Dinamo Moscow,DIN,0,1,0.388284,1.5789799999999998,0.0632,0.2066,0.7302
122,11143,True,2019-11-09 13:30:00,187,FC Rostov,ROS,237,FC Tambov,TAM,1,2,0.979083,0.7079989999999999,0.4099,0.3505,0.2396
123,11150,True,2019-11-09 16:00:00,183,Spartak Moscow,SPA,194,Krylya Sovetov Samara,KSS,2,0,3.0737,0.48669399999999996,0.9357,0.0515,0.0128
124,11147,True,2019-11-10 08:30:00,199,FC Orenburg,ORE,184,FC Ufa,UFA,0,0,0.729144,0.302892,0.4335,0.4366,0.1299
125,11146,True,2019-11-10 11:00:00,200,Arsenal Tula,ARS,189,Zenit St. Petersburg,ZEN,0,1,0.827823,2.602,0.0374,0.1202,0.8424
